Time,DNI,Temp,RH
21180,0,10,34.08
21210,0,9,34.08
21240,0,9,33.55
21270,0,8,35.88
21300,0,8,35.3
21330,0,7,37.77
21360,0,7,37.31
21390,0,7,39.95
21420,0,7,39.3
21450,0,6,39.29
21480,0,6,38.55
21510,0,6,41.28
21540,0,6,40.6
21570,0,5,43.51
21600,0,5,42.63
21630,0,4,45.72
21660,0,4,44.5
21690,0,3,44.49
21720,0,3,43.19
21750,0,3,46.33
21780,0,3,44.84
21810,0,2,48.13
21840,0,2,46.26
21870,0,1,46.27
21900,0,1,44.6
21930,0,1,47.91
21960,0,1,46.42
21990,0,1,43.22
22020,63.15948491,2,44.93
22050,-89.80536777,4,39.05
22080,-37.18747884,6,32.63
22110,-17.88879218,7,30.48
22140,-10.97906011,9,25.57
22170,-10.1064095,10,23.92
22200,-7.689739951,12,22.4
22230,-8.43160102,13,20.97
22260,-6.509766527,14,19.47
22290,-6.416211105,14,19.46
22320,-4.447469709,15,18.16
22350,-2.495808533,15,18.16
22380,-3.01894702,15,17.12
22410,-0.171834668,15,18.25
22440,3.825392467,15,18.67
22470,5.847683631,14,19.91
22500,6.895816759,13,27.46
22530,-2.956115078,10,33.47
22560,-32.50625283,8,44.52
22590,-103.3562327,7,47.68
22620,0,6,46.68
22650,0,5,50.05
22680,0,5,48.93
22710,0,4,52.48
22740,0,3,51.29
22770,0,3,55.04
22800,0,3,54.3
22830,0,2,54.31
22860,0,2,54.16
22890,0,2,58.15
22920,0,2,57.85
22950,0,1,57.84
22980,0,1,57.28
23010,0,1,57.28
23040,0,1,56.7
23070,0,1,56.71
23100,0,1,56.51
23130,0,1,60.71
23160,0,1,60.59
23190,0,0,60.59
23220,0,0,60.29
23250,0,0,64.82
23280,0,0,64.09
23310,0,0,64.1
23340,0,0,63.3
23370,0,0,63.32
23400,0,0,62.5
23430,0,0,58.17
23460,66.47907735,1,54.24
23490,-104.636476,2,50.54
23520,-44.60085222,4,46.79
23550,-23.10807115,5,43.64
