#1	
"double Cosine(6247, 2)"	
610.5	0
611	0
611.5	0
612	0
612.5	0
613	0
613.5	0
614	0
614.5	0
615	0
615.5	0.965205
616	0.917073
616.5	0.856137
617	0.791405
617.5	0.737688
618	0.711753
618.5	0.724194
619	0.769587
619.5	0.832027
620	0.895769
620.5	0.950142
621	1
621.5	1
622	1
622.5	0
623	0
623.5	0
624	0
624.5	0
625	0
625.5	0
626	0
626.5	0
627	0
627.5	0.966484
628	0.91908
628.5	0.858844
629	0.794811
629.5	0.741672
630	0.71608
630.5	0.72852
631	0.773534
631.5	0.83533
632	0.898316
632.5	0.951854
633	1
633.5	1
634	1
634.5	0
635	0
635.5	0
636	0
636.5	0
637	0
637.5	0
638	0
638.5	0
639	0
639.5	0
640	0
640.5	0
641	0.798215
641.5	0.744317
642	0.720418
642.5	0.732861
643	0.777493
643.5	0.838639
644	0.900862
644.5	0.953556
645	1
645.5	1
646	1
646.5	0
647	0
647.5	0
648	0
648.5	0
649	0
649.5	0
650	0
650.5	0
651	0
651.5	0.96898
652	0.923048
652.5	0.864253
653	0.801615
653.5	0.749653
654	0.724765
654.5	0.737212
655	0.781461
655.5	0.841953
656	0.903404
656.5	0.955245
657	1
657.5	1
658	1
658.5	0
659	0
659.5	0
660	0
660.5	0
661	0
661.5	0
662	0
662.5	0
663	0
663.5	0
664	0.925008
664.5	0.866862
665	0.805011
665.5	0.752576
666	0.729119
666.5	0.741573
667	0.785436
667.5	0.845207
668	0.905941
668.5	0.956922
669	1
669.5	0
670	0
670.5	0
671	0
671.5	0
672	0
672.5	0
673	0
673.5	0
674	0
674.5	0
675	0
675.5	0
676	0.926949
676.5	0.869581
677	0.8082
677.5	0.757642
678	0.733477
678.5	0.74594
679	0.789416
679.5	0.848537
680	0.908471
680.5	0.958583
681	1
681.5	1
682	1
682.5	0
683	0
683.5	0
684	0
684.5	0
685	0
685.5	0
686	0
686.5	0
687	0
687.5	0.972563
688	0.928873
688.5	0.872267
689	0.811783
