Hours since 00:00 Jan 1,,Hourly Data: Field collector cosine efficiency
934.5,467,0
935.5,467.5,0
936.5,468,0
937.5,468.5,0
938.5,469,0
939.5,469.5,0
940.5,470,0
941.5,470.5,0
942.5,471,0
943.5,471.5,1
944.5,472,0.892974
945.5,472.5,0.823212
946.5,473,0.75086
947.5,473.5,0.690906
948.5,474,0.661448
949.5,474.5,0.67424
950.5,475,0.724112
951.5,475.5,0.793818
952.5,476,0.865937
953.5,476.5,0.92945
954.5,477,1
955.5,477.5,1
956.5,478,0
957.5,478.5,0
958.5,479,0
959.5,479.5,0
960.5,480,0
961.5,480.5,0
962.5,481,0
963.5,481.5,0
964.5,482,0
965.5,482.5,0
966.5,483,0
967.5,483.5,0
968.5,484,0.895025
969.5,484.5,0.825957
970.5,485,0.754188
971.5,485.5,0.694696
972.5,486,0.665481
973.5,486.5,0.67821
974.5,487,0.727711
975.5,487.5,0.796846
976.5,488,0.868322
977.5,488.5,0.931145
978.5,489,1
979.5,489.5,1
980.5,490,0
981.5,490.5,0
982.5,491,0
983.5,491.5,0
984.5,492,0
985.5,492.5,0
986.5,493,0
987.5,493.5,0
988.5,494,0
989.5,494.5,0
990.5,495,0
991.5,495.5,1
992.5,496,0.897069
993.5,496.5,0.828705
994.5,497,0.757528
995.5,497.5,0.698511
996.5,498,0.669549
997.5,498.5,0.682223
998.5,499,0.731353
999.5,499.5,0.799911
1000.5,500,0.870734
1001.5,500.5,0.932851
1002.5,501,1
1003.5,501.5,0.799736
1004.5,502,0
1005.5,502.5,0
1006.5,503,0
1007.5,503.5,0
1008.5,504,0
1009.5,504.5,0
1010.5,505,0
1011.5,505.5,0
1012.5,506,0
1013.5,506.5,0
1014.5,507,0
1015.5,507.5,1
1016.5,508,0.899107
1017.5,508.5,0.831456
1018.5,509,0.760881
1019.5,509.5,0.70235
1020.5,510,0.673651
1021.5,510.5,0.686277
1022.5,511,0.735036
1023.5,511.5,0.80301
1024.5,512,0.873168
1025.5,512.5,0.934568
1026.5,513,1
1027.5,513.5,1
1028.5,514,0
1029.5,514.5,0
1030.5,515,0
1031.5,515.5,0
1032.5,516,0
1033.5,516.5,0
1034.5,517,0
1035.5,517.5,0
1036.5,518,0
1037.5,518.5,0
1038.5,519,0
1039.5,519.5,1
1040.5,520,0.901136
1041.5,520.5,0.834208
1042.5,521,0.764245
1043.5,521.5,0.70621
1044.5,522,0.677784
1045.5,522.5,0.690369
1046.5,523,0.738757
1047.5,523.5,0.806111
1048.5,524,0.875625
1049.5,524.5,0.936292
1050.5,525,1
1051.5,525.5,1
1052.5,526,0
1053.5,526.5,0
1054.5,527,0
1055.5,527.5,0
1056.5,528,0
1057.5,528.5,0
1058.5,529,0
1059.5,529.5,0
1060.5,530,0
1061.5,530.5,0
1062.5,531,0
1063.5,531.5,0
1064.5,532,0
1065.5,532.5,0.836848
1066.5,533,0.767619
1067.5,533.5,0.710091
1068.5,534,0.681948
1069.5,534.5,0
1070.5,535,0.741908
1071.5,535.5,0.809255
1072.5,536,0.8781
1073.5,536.5,0.938022
1074.5,537,1
1075.5,537.5,0
1076.5,538,0
1077.5,538.5,0
1078.5,539,0
1079.5,539.5,0
1080.5,540,0
1081.5,540.5,0
1082.5,541,0
1083.5,541.5,0
1084.5,542,0
1085.5,542.5,0
1086.5,543,0
1087.5,543.5,1
1088.5,544,0.905169
1089.5,544.5,0.83971
1090.5,545,0.771002
1091.5,545.5,0.71399
1092.5,546,0.686139
1093.5,546.5,0.698659
1094.5,547,0.746304
1095.5,547.5,0.812488
1096.5,548,0.880592
1097.5,548.5,0.939756
1098.5,549,1
1099.5,549.5,1
1100.5,550,1
1101.5,550.5,0
1102.5,551,0
1103.5,551.5,0
1104.5,552,0
1105.5,552.5,0
1106.5,553,0
1107.5,553.5,0
1108.5,554,0
1109.5,554.5,0
1110.5,555,0
1111.5,555.5,0
1112.5,556,0.907171
1113.5,556.5,0.842354
1114.5,557,0.774392
1115.5,557.5,0.717831
1116.5,558,0.690356
1117.5,558.5,0.702852
1118.5,559,0.750124
1119.5,559.5,0.815699
1120.5,560,0.883098
1121.5,560.5,0.941492
1122.5,561,1
1123.5,561.5,1
1124.5,562,1
1125.5,562.5,0
1126.5,563,0
1127.5,563.5,0
1128.5,564,0
1129.5,564.5,0
1130.5,565,0
1131.5,565.5,0
1132.5,566,0
1133.5,566.5,0
1134.5,567,0
1135.5,567.5,1
1136.5,568,0.909162
1137.5,568.5,0.845195
1138.5,569,0.777512
1139.5,569.5,0.721839
1140.5,570,0.694597
1141.5,570.5,0.707073
1142.5,571,0.753972
1143.5,571.5,0.818906
1144.5,572,0.885617
1145.5,572.5,0.943228
1146.5,573,1
1147.5,573.5,1
1148.5,574,0
1149.5,574.5,0
1150.5,575,0
1151.5,575.5,0
1152.5,576,0
1153.5,576.5,0
1154.5,577,0
1155.5,577.5,0
1156.5,578,0
1157.5,578.5,0
1158.5,579,0
1159.5,579.5,0
1160.5,580,0.911141
1161.5,580.5,0.847947
1162.5,581,0.781189
1163.5,581.5,0.725785
1164.5,582,0.698859
1165.5,582.5,0.71132
1166.5,583,0.757845
1167.5,583.5,0.822183
1168.5,584,0.888146
1169.5,584.5,0.944963
1170.5,585,1
1171.5,585.5,1
1172.5,586,1
1173.5,586.5,0
1174.5,587,0
1175.5,587.5,0
1176.5,588,0
1177.5,588.5,0
1178.5,589,0
1179.5,589.5,0
1180.5,590,0
1181.5,590.5,0
1182.5,591,0
1183.5,591.5,1
1184.5,592,0.913108
1185.5,592.5,0.850684
1186.5,593,0.784593
1187.5,593.5,0.729743
1188.5,594,0.703141
1189.5,594.5,0.715591
1190.5,595,0.76174
1191.5,595.5,0.825451
1192.5,596,0.890682
1193.5,596.5,0.946695
1194.5,597,1
1195.5,597.5,1
1196.5,598,1
1197.5,598.5,0
1198.5,599,0
1199.5,599.5,0
1200.5,600,0
1201.5,600.5,0
1202.5,601,0
1203.5,601.5,0
1204.5,602,0
1205.5,602.5,0
1206.5,603,0
1207.5,603.5,1
1208.5,604,0.915062
1209.5,604.5,0.853414
1210.5,605,0.787999
1211.5,605.5,0.733711
1212.5,606,0.707439
1213.5,606.5,0.719883
1214.5,607,0.765655
1215.5,607.5,0.828733
1216.5,608,0.893224
1217.5,608.5,0.948422
1218.5,609,1
1219.5,609.5,1
1220.5,610,1
1221.5,610.5,0
1222.5,611,0
1223.5,611.5,0
1224.5,612,0
1225.5,612.5,0
1226.5,613,0
1227.5,613.5,0
1228.5,614,0
1229.5,614.5,0
1230.5,615,0
1231.5,615.5,0.965205
1232.5,616,0.917073
1233.5,616.5,0.856137
1234.5,617,0.791405
1235.5,617.5,0.737688
1236.5,618,0.711753
1237.5,618.5,0.724194
1238.5,619,0.769587
1239.5,619.5,0.832027
1240.5,620,0.895769
1241.5,620.5,0.950142
1242.5,621,1
1243.5,621.5,1
1244.5,622,1
1245.5,622.5,0
1246.5,623,0
1247.5,623.5,0
1248.5,624,0
1249.5,624.5,0
1250.5,625,0
1251.5,625.5,0
1252.5,626,0
1253.5,626.5,0
1254.5,627,0
1255.5,627.5,0.966484
1256.5,628,0.91908
1257.5,628.5,0.858844
1258.5,629,0.794811
1259.5,629.5,0.741672
1260.5,630,0.71608
1261.5,630.5,0.72852
1262.5,631,0.773534
1263.5,631.5,0.83533
1264.5,632,0.898316
1265.5,632.5,0.951854
1266.5,633,1
1267.5,633.5,1
1268.5,634,1
1269.5,634.5,0
1270.5,635,0
1271.5,635.5,0
1272.5,636,0
1273.5,636.5,0
1274.5,637,0
1275.5,637.5,0
1276.5,638,0
1277.5,638.5,0
1278.5,639,0
1279.5,639.5,0
1280.5,640,0
1281.5,640.5,0
1282.5,641,0.798215
1283.5,641.5,0.744317
1284.5,642,0.720418
1285.5,642.5,0.732861
1286.5,643,0.777493
1287.5,643.5,0.838639
1288.5,644,0.900862
1289.5,644.5,0.953556
1290.5,645,1
1291.5,645.5,1
1292.5,646,1
1293.5,646.5,0
1294.5,647,0
1295.5,647.5,0
1296.5,648,0
1297.5,648.5,0
1298.5,649,0
1299.5,649.5,0
1300.5,650,0
1301.5,650.5,0
1302.5,651,0
1303.5,651.5,0.96898
1304.5,652,0.923048
1305.5,652.5,0.864253
1306.5,653,0.801615
1307.5,653.5,0.749653
1308.5,654,0.724765
1309.5,654.5,0.737212
1310.5,655,0.781461
1311.5,655.5,0.841953
1312.5,656,0.903404
1313.5,656.5,0.955245
1314.5,657,1
1315.5,657.5,1
1316.5,658,1
1317.5,658.5,0
1318.5,659,0
1319.5,659.5,0
1320.5,660,0
1321.5,660.5,0
1322.5,661,0
1323.5,661.5,0
1324.5,662,0
1325.5,662.5,0
1326.5,663,0
1327.5,663.5,0
1328.5,664,0.925008
1329.5,664.5,0.866862
