Time,RAVEN_sample_ID,Temp_original,Temp_fourier,Temp_nofourier,Temp_gaussianed,RH_original,RH_fourier,RH_nofourier,RH_gaussianed
387420.0,0,21.0,15.4083292501,5.59167074986,1.55405226891,17.98,44.8730156901,-26.8930156901,-2.28480071261
387450.0,0,20.0,15.1154292426,4.88457075737,1.35495012412,17.98,45.8328205813,-27.8528205813,-2.38126680331
387480.0,0,20.0,14.8716747646,5.12832523539,1.42639997515,18.31,46.6891296436,-28.3791296436,-2.4216867875
387510.0,0,20.0,14.6979262643,5.30207373566,1.47643362002,19.47,47.3802130121,-27.9102130121,-2.38764267854
387540.0,0,20.0,14.615747601,5.38425239895,1.49915743292,19.98,47.8444589591,-27.8644589591,-2.38255193158
387570.0,0,19.0,14.645768978,4.35423102202,1.18667078695,21.26,48.0248455586,-26.7648455586,-2.27295108178
387600.0,0,19.0,14.8060226397,4.19397736029,1.13797649569,21.85,47.8732851328,-26.0232851328,-2.20119765321
387630.0,0,18.0,15.1103691577,2.88963084229,0.761392388294,23.26,47.3545374996,-24.0945374996,-2.03015455836
387660.0,0,18.0,15.5671274341,2.43287256589,0.644810674366,23.87,46.4494143907,-22.5794143907,-1.8884298424
387690.0,0,18.0,16.1780090501,1.82199094987,0.486989858948,23.87,45.1570428604,-21.2870428604,-1.77270670295
387720.0,0,19.0,16.9374380993,2.06256190072,0.547895691757,23.36,43.4960170261,-20.1360170261,-1.65825562988
387750.0,0,20.0,17.832312485,2.16768751501,0.575015891507,21.96,41.5043409002,-19.5443409002,-1.59893272816
387780.0,0,22.0,18.8422335215,3.15776647852,0.834760652659,19.52,39.2381454536,-19.7181454536,-1.61594239277
387810.0,0,23.0,19.9401995264,3.05980047364,0.807685323979,17.3,36.7692449236,-19.4692449236,-1.59171225539
387840.0,0,25.0,21.093728043,3.90627195705,1.04925124382,15.59,34.181675214,-18.591675214,-1.50957187743
387870.0,0,27.0,22.2663424862,4.73365751378,1.30912729681,14.7,31.5674257341,-16.8674257341,-1.36099617783
387900.0,0,29.0,23.4193343273,5.58066567275,1.55091816144,13.05,29.0216305453,-15.9716305453,-1.27663654747
387930.0,0,30.0,24.5136930977,5.48630690233,1.52533419439,12.32,26.637521511,-14.317521511,-1.10968970123
387960.0,0,31.0,25.5120847907,5.48791520933,1.52575515476,10.85,24.5014627739,-13.6514627739,-1.04059904851
387990.0,0,32.0,26.380755462,5.61924453798,1.56197270652,10.84,22.6883811764,-11.8483811764,-0.862138429251
388020.0,0,33.0,27.091241258,5.90875874195,1.63997140506,10.21,21.2578814898,-11.0478814898,-0.78931300995
388050.0,0,33.0,27.621778428,5.37822157201,1.4976423908,10.2,20.2512902783,-10.0512902783,-0.693519905108
388080.0,0,33.0,27.9583262895,5.04167371051,1.40124585197,9.64,19.6898109166,-10.0498109166,-0.693363167136
388110.0,0,33.0,28.0951413037,4.90485869626,1.36131696511,9.63,19.5738988649,-9.9438988649,-0.682185615046
388140.0,0,34.0,28.0348696842,5.96513031583,1.65537002783,9.59,19.8838857344,-10.2938857344,-0.717679600854
388170.0,0,34.0,27.7881573382,6.21184266177,1.73323925428,9.58,20.581798407,-11.001798407,-0.785364552122
388200.0,0,34.0,27.3728073116,6.62719268844,1.864476525,9.46,21.6142410508,-12.1542410508,-0.892161625355
388230.0,0,33.0,26.8125441564,6.18745584364,1.72551557843,10.0,22.9161386037,-12.9161386037,-0.965838208566
388260.0,0,33.0,26.1354698147,6.86453018526,1.93348831325,9.86,24.4150848363,-14.5550848363,-1.13445050838
388290.0,0,32.0,25.3723150049,6.62768499513,1.86462310831,10.43,26.0360001833,-15.6060001833,-1.24205240073
388320.0,0,31.0,24.5546024302,6.44539756976,1.80818520645,10.46,27.7057866757,-17.2457866757,-1.39325310521
388350.0,0,29.0,23.7128425857,5.28715741433,1.47202586594,12.41,29.3576706737,-16.9476706737,-1.36869291423
388380.0,0,27.0,22.8748792325,4.12512076752,1.11714031061,15.07,30.934948414,-15.864948414,-1.26638887382
388410.0,0,25.0,22.0644900357,2.93550996434,0.773849609938,15.98,32.3938929273,-16.4138929273,-1.31893695523
388440.0,0,24.0,21.3003292118,2.6996707882,0.711359559217,17.15,33.7056406471,-16.5556406471,-1.33182988038
388470.0,0,23.0,20.5952746196,2.40472538043,0.637917695911,18.21,34.8569478922,-16.6469478922,-1.34025355424
388500.0,0,23.0,19.956213217,3.04378678305,0.803285235277,18.86,35.8497864309,-16.9897864309,-1.37225849469
388530.0,0,22.0,19.3842681717,2.61573182831,0.690198225987,20.03,36.6998281036,-16.6698281036,-1.34237936164
388560.0,0,22.0,18.8754402429,3.12455975708,0.825641393441,21.03,37.4339454594,-16.4039454594,-1.31804036945
388590.0,0,21.0,18.4216074534,2.57839254655,0.680883824129,22.35,38.0869232836,-15.7369232836,-1.25426396681
388620.0,0,21.0,18.0118024983,2.98819750169,0.788129995272,23.8,38.6976301142,-14.8976301142,-1.17142890461
388650.0,0,20.0,17.6336684641,2.3663315359,0.628563948654,25.3,39.3049356621,-14.0049356621,-1.07692234782
388680.0,0,20.0,17.2749815491,2.72501845094,0.717812491796,26.92,39.9436769545,-13.0236769545,-0.976524846803
388710.0,0,20.0,16.9251253828,3.07487461721,0.811841588567,28.63,40.6409718673,-12.0109718673,-0.877999807216
388740.0,0,20.0,16.576405516,3.42359448398,0.905067801485,29.63,41.4131537989,-11.7831537989,-0.855835921132
388770.0,0,19.0,16.2251044041,2.77489559585,0.73074278433,29.63,42.2635572815,-12.6335572815,-0.937991884947
388800.0,0,19.0,15.8721959264,3.12780407358,0.826547949909,29.67,43.1813243526,-13.5113243526,-1.02645540199
388830.0,0,19.0,15.5236628735,3.47633712648,0.920731570271,31.56,44.1413296407,-12.5813296407,-0.932908013599
388860.0,0,19.0,15.1903892165,3.80961078351,1.02000978833,30.79,45.1052432841,-14.3152432841,-1.10945553243
388890.0,0,18.0,14.8876293828,3.11237061721,0.82224143777,30.79,46.0236704337,-15.2336704337,-1.20431892264
388920.0,0,18.0,14.6340871148,3.36591288519,0.888187580742,29.57,46.839229695,-17.269229695,-1.39520657731
388950.0,0,18.0,14.4506646759,3.5493353241,0.942791406254,29.57,47.490365716,-17.920365716,-1.45024839074
388980.0,0,18.0,14.3589672529,3.64103274709,0.96961686865,28.37,47.9156378454,-19.5456378454,-1.59905816345
389010.0,0,18.0,14.3796657124,3.62033428763,0.963507034739,28.37,48.0581910645,-19.6881910645,-1.61300145296
389040.0,0,18.0,14.5308321236,3.46916787639,0.918589184376,27.48,47.8700997189,-20.3900997189,-1.68541750395
389070.0,0,18.0,14.8263658738,3.17363412619,0.838717178533,27.49,47.3162800728,-19.8262800728,-1.62661463048
389100.0,0,18.0,15.2746235056,2.72537649445,0.717903855239,26.98,46.3776940565,-19.3976940565,-1.5849090023
389130.0,0,19.0,15.8773529041,3.12264709593,0.825107258051,26.99,45.0536120324,-18.0636120324,-1.46251309518
389160.0,0,20.0,16.629012975,3.37098702503,0.889662321539,25.38,43.3627639215,-17.9827639215,-1.45556400165
389190.0,0,21.0,17.5165347928,3.48346520717,0.922865851418,22.46,41.3432814542,-18.8832814542,-1.53696001743
389220.0,0,23.0,18.51955106,4.48044894003,1.23063944852,20.11,39.0514146865,-18.9414146865,-1.5425598876
