Temperature (C)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
625.00	33.000	92.820	0.010774	3143.2	3498.8	6.2585	2.0577	3.1549	684.19	2.7201	36.553	0.11712	supercritical
626.00	33.000	92.634	0.010795	3145.7	3501.9	6.2620	2.0568	3.1500	684.82	2.7129	36.587	0.11719	supercritical
627.00	33.000	92.450	0.010817	3148.1	3505.1	6.2655	2.0559	3.1451	685.44	2.7058	36.622	0.11726	supercritical
628.00	33.000	92.267	0.010838	3150.5	3508.2	6.2690	2.0550	3.1403	686.07	2.6987	36.656	0.11733	supercritical
629.00	33.000	92.085	0.010859	3153.0	3511.3	6.2724	2.0541	3.1355	686.69	2.6916	36.690	0.11740	supercritical
630.00	33.000	91.905	0.010881	3155.4	3514.5	6.2759	2.0532	3.1308	687.32	2.6845	36.725	0.11747	supercritical
631.00	33.000	91.725	0.010902	3157.8	3517.6	6.2794	2.0523	3.1261	687.94	2.6774	36.759	0.11754	supercritical
632.00	33.000	91.546	0.010923	3160.2	3520.7	6.2828	2.0514	3.1215	688.56	2.6704	36.794	0.11762	supercritical
633.00	33.000	91.368	0.010945	3162.7	3523.8	6.2863	2.0506	3.1169	689.17	2.6633	36.828	0.11769	supercritical
634.00	33.000	91.191	0.010966	3165.1	3527.0	6.2897	2.0498	3.1124	689.79	2.6563	36.863	0.11777	supercritical
635.00	33.000	91.015	0.010987	3167.5	3530.1	6.2931	2.0489	3.1079	690.40	2.6493	36.897	0.11784	supercritical
636.00	33.000	90.841	0.011008	3169.9	3533.2	6.2965	2.0481	3.1035	691.01	2.6423	36.932	0.11792	supercritical
637.00	33.000	90.667	0.011029	3172.3	3536.3	6.3000	2.0473	3.0991	691.62	2.6354	36.966	0.11799	supercritical
638.00	33.000	90.494	0.011050	3174.7	3539.4	6.3034	2.0465	3.0948	692.23	2.6284	37.001	0.11807	supercritical
639.00	33.000	90.322	0.011072	3177.1	3542.5	6.3067	2.0458	3.0905	692.84	2.6215	37.036	0.11815	supercritical
640.00	33.000	90.151	0.011093	3179.5	3545.5	6.3101	2.0450	3.0862	693.45	2.6146	37.070	0.11823	supercritical
641.00	33.000	89.981	0.011113	3181.9	3548.6	6.3135	2.0442	3.0821	694.05	2.6077	37.105	0.11831	supercritical
642.00	33.000	89.812	0.011134	3184.3	3551.7	6.3169	2.0435	3.0779	694.65	2.6008	37.140	0.11839	supercritical
643.00	33.000	89.643	0.011155	3186.7	3554.8	6.3202	2.0428	3.0738	695.25	2.5939	37.174	0.11847	supercritical
644.00	33.000	89.476	0.011176	3189.0	3557.9	6.3236	2.0421	3.0697	695.85	2.5871	37.209	0.11855	supercritical
645.00	33.000	89.310	0.011197	3191.4	3560.9	6.3269	2.0414	3.0657	696.45	2.5803	37.244	0.11863	supercritical
646.00	33.000	89.144	0.011218	3193.8	3564.0	6.3303	2.0407	3.0617	697.05	2.5735	37.278	0.11872	supercritical
647.00	33.000	88.979	0.011239	3196.2	3567.1	6.3336	2.0400	3.0578	697.64	2.5667	37.313	0.11880	supercritical
648.00	33.000	88.816	0.011259	3198.6	3570.1	6.3369	2.0393	3.0539	698.23	2.5599	37.348	0.11888	supercritical
649.00	33.000	88.653	0.011280	3200.9	3573.2	6.3402	2.0387	3.0501	698.82	2.5531	37.382	0.11897	supercritical
650.00	33.000	88.491	0.011301	3203.3	3576.2	6.3435	2.0380	3.0462	699.41	2.5464	37.417	0.11906	supercritical
651.00	33.000	88.329	0.011321	3205.6	3579.3	6.3468	2.0374	3.0425	700.00	2.5397	37.452	0.11914	supercritical
652.00	33.000	88.169	0.011342	3208.0	3582.3	6.3501	2.0367	3.0387	700.59	2.5330	37.487	0.11923	supercritical
653.00	33.000	88.009	0.011362	3210.4	3585.3	6.3534	2.0361	3.0350	701.17	2.5263	37.522	0.11932	supercritical
654.00	33.000	87.851	0.011383	3212.7	3588.4	6.3567	2.0355	3.0314	701.76	2.5196	37.556	0.11940	supercritical
655.00	33.000	87.693	0.011403	3215.1	3591.4	6.3599	2.0349	3.0278	702.34	2.5130	37.591	0.11949	supercritical
656.00	33.000	87.536	0.011424	3217.4	3594.4	6.3632	2.0343	3.0242	702.92	2.5064	37.626	0.11958	supercritical
657.00	33.000	87.379	0.011444	3219.8	3597.4	6.3664	2.0337	3.0206	703.50	2.4997	37.661	0.11967	supercritical
658.00	33.000	87.224	0.011465	3222.1	3600.5	6.3697	2.0332	3.0171	704.08	2.4931	37.696	0.11976	supercritical
659.00	33.000	87.069	0.011485	3224.5	3603.5	6.3729	2.0326	3.0137	704.66	2.4866	37.731	0.11985	supercritical
