Normalised hour angle,RAVEN_sample_ID,Clearsky DNI_original,Clearsky DNI_fourier,Clearsky DNI_nofourier,Clearsky DNI_gaussianed
3438.36428,0,92.0,175.756547989,-83.7565479885,-1.19622089539
-2983.314553,0,464.0,549.232525769,-85.2325257688,-1.21725570054
-2340.0415980000002,0,678.0,801.129540595,-123.129540595,-1.66469951729
-1696.768646,0,771.0,864.281423077,-93.2814230765,-1.33247510182
-1053.495691,0,815.0,917.325221301,-102.325221301,-1.44109720091
-410.222736,0,842.0,956.64356125,-114.64356125,-1.57204647354
233.0502156,0,849.0,954.528601272,-105.528601272,-1.47618619356
876.3231707999998,0,827.0,926.109030065,-99.1090300653,-1.4030592654
1519.596126,0,775.0,882.662151455,-107.662151455,-1.50060463488
2162.869078,0,690.0,826.985338333,-136.985338333,-1.83968044485
2806.1420329999996,0,530.0,640.712843228,-110.712843228,-1.53335446202
3449.4149880000004,0,116.0,164.156861421,-48.1568614208,-0.795217577679
-2990.1507300000003,0,535.0,545.157016768,-10.1570167676,-0.315167461616
-2345.100977,0,746.0,800.015631691,-54.0156316914,-0.852831572006
-1700.0512239999998,0,843.0,863.944047054,-20.9440470537,-0.456621090139
-1055.00147,0,890.0,917.26844028,-27.2684402797,-0.548894718758
-409.95171719999996,0,908.0,956.646966249,-48.6469662489,-0.80000575281
235.0980324,0,900.0,954.590649594,-54.5906495944,-0.858600335555
880.1477856,0,870.0,925.830923713,-55.8309237134,-0.871141564766
1525.197539,0,819.0,881.997159261,-62.9971592606,-0.94782206333
2170.247292,0,740.0,826.194433326,-86.1944333262,-1.23125937546
2815.297045,0,573.0,636.562019212,-63.562019212,-0.954132433749
3460.3467950000004,0,123.0,152.595775962,-29.5957759625,-0.580404867633
-2997.114743,0,556.0,540.9580273,15.0419726995,0.0677406226631
-2350.287893,0,770.0,798.856386718,-28.8563867179,-0.570574165707
-1703.461039,0,867.0,863.596080288,3.40391971193,-0.118284262633
-1056.634186,0,917.0,917.207039955,-0.207039955175,-0.172419039607
-409.807332,0,942.0,956.648770009,-14.6487700088,-0.374844031747
237.0195216,0,949.0,954.648622755,-5.64862275485,-0.25409967993
883.8463716,0,936.0,925.56461604,10.4353839599,-0.0106848671644
1530.673225,0,898.0,881.344554698,16.6554453023,0.0952834095697
2177.500079,0,822.0,825.390107511,-3.39010751063,-0.220270917313
2824.326932,0,664.0,632.421110566,31.5788894338,0.366431623412
3471.153782,0,195.0,141.084785049,53.9152149507,0.879057036103
-3004.20707,0,544.0,536.631964689,7.36803531131,-0.0586929532238
-2355.603361,0,756.0,797.650341854,-41.6503418544,-0.731054601894
-1706.999652,0,849.0,863.237687709,-14.2376877091,-0.369647057745
-1058.395939,0,895.0,917.140974584,-22.1409745837,-0.473765399776
-409.79222999999996,0,907.0,956.648958262,-49.6489582619,-0.809852485619
238.81147919999998,0,901.0,954.702458707,-53.7024587072,-0.84970162976
