Date,Time,Clearsky DNI,Hour angle,Sunrise hour angle,Sunset hour angle,Normalised hour angle
2018-01-08 04:30:00-07:00,10350,0,-119.2046196,-75.24720583,77.03378395,-1.565587665
2018-01-08 05:30:00-07:00,10410,0,-104.2046196,-75.24720583,77.03378395,-1.368583429
2018-01-08 06:30:00-07:00,10470,0,-89.20461958,-75.24720583,77.03378395,-1.171579193
2018-01-08 07:30:00-07:00,10530,0,-74.20461958,-75.24720583,77.03378395,-0.974574958
2018-01-08 08:30:00-07:00,10590,640,-59.20461958,-75.24720583,77.03378395,-0.777570722
2018-01-08 09:30:00-07:00,10650,838,-44.20461958,-75.24720583,77.03378395,-0.580566486
2018-01-08 10:30:00-07:00,10710,928,-29.20461958,-75.24720583,77.03378395,-0.383562251
2018-01-08 11:30:00-07:00,10770,957,-14.20461958,-75.24720583,77.03378395,-0.186558015
2018-01-08 12:30:00-07:00,10830,970,0.795380417,-75.24720583,77.03378395,0.010446221
2018-01-08 13:30:00-07:00,10890,958,15.79538042,-75.24720583,77.03378395,0.207450456
2018-01-08 14:30:00-07:00,10950,646,30.79538042,-75.24720583,77.03378395,0.404454692
2018-01-08 15:30:00-07:00,11010,551,45.79538042,-75.24720583,77.03378395,0.601458928
2018-01-08 16:30:00-07:00,11070,363,60.79538042,-75.24720583,77.03378395,0.798463163
2018-01-08 17:30:00-07:00,11130,0,75.79538042,-75.24720583,77.03378395,0.995467399
2018-01-08 18:30:00-07:00,11190,0,90.79538042,-75.24720583,77.03378395,1.192471635
2018-01-08 19:30:00-07:00,11250,0,105.7953804,-75.24720583,77.03378395,1.38947587
2018-01-08 20:30:00-07:00,11310,0,120.7953804,-75.24720583,77.03378395,1.586480106
2018-01-08 21:30:00-07:00,11370,0,135.7953804,-75.24720583,77.03378395,1.783484342
2018-01-08 22:30:00-07:00,11430,0,150.7953804,-75.24720583,77.03378395,1.980488578
2018-01-08 23:30:00-07:00,11490,0,165.7953804,-75.24720583,77.03378395,2.177492813
2018-01-09 00:30:00-07:00,11550,0,-179.2046196,-75.24867845,77.24128684,-2.350379177
2018-01-09 01:30:00-07:00,11610,0,-164.2046196,-75.24867845,77.24128684,-2.153644921
2018-01-09 02:30:00-07:00,11670,0,-149.2046196,-75.24867845,77.24128684,-1.956910664
2018-01-09 03:30:00-07:00,11730,0,-134.2046196,-75.24867845,77.24128684,-1.760176407
2018-01-09 04:30:00-07:00,11790,0,-119.2046196,-75.24867845,77.24128684,-1.56344215
2018-01-09 05:30:00-07:00,11850,0,-104.2046196,-75.24867845,77.24128684,-1.366707893
2018-01-09 06:30:00-07:00,11910,0,-89.20461958,-75.24867845,77.24128684,-1.169973636
2018-01-09 07:30:00-07:00,11970,0,-74.20461958,-75.24867845,77.24128684,-0.973239379
2018-01-09 08:30:00-07:00,12030,317,-59.20461958,-75.24867845,77.24128684,-0.776505122
2018-01-09 09:30:00-07:00,12090,611,-44.20461958,-75.24867845,77.24128684,-0.579770866
2018-01-09 10:30:00-07:00,12150,642,-29.20461958,-75.24867845,77.24128684,-0.383036609
2018-01-09 11:30:00-07:00,12210,416,-14.20461958,-75.24867845,77.24128684,-0.186302352
2018-01-09 12:30:00-07:00,12270,968,0.795380417,-75.24867845,77.24128684,0.010431905
2018-01-09 13:30:00-07:00,12330,960,15.79538042,-75.24867845,77.24128684,0.207166162
2018-01-09 14:30:00-07:00,12390,921,30.79538042,-75.24867845,77.24128684,0.403900419
2018-01-09 15:30:00-07:00,12450,841,45.79538042,-75.24867845,77.24128684,0.600634676
2018-01-09 16:30:00-07:00,12510,657,60.79538042,-75.24867845,77.24128684,0.797368932
2018-01-09 17:30:00-07:00,12570,0,75.79538042,-75.24867845,77.24128684,0.994103189
2018-01-09 18:30:00-07:00,12630,0,90.79538042,-75.24867845,77.24128684,1.190837446
2018-01-09 19:30:00-07:00,12690,0,105.7953804,-75.24867845,77.24128684,1.387571703
2018-01-09 20:30:00-07:00,12750,0,120.7953804,-75.24867845,77.24128684,1.58430596
2018-01-09 21:30:00-07:00,12810,0,135.7953804,-75.24867845,77.24128684,1.781040217
2018-01-09 22:30:00-07:00,12870,0,150.7953804,-75.24867845,77.24128684,1.977774474
2018-01-09 23:30:00-07:00,12930,0,165.7953804,-75.24867845,77.24128684,2.174508731
2018-01-10 00:30:00-07:00,12990,0,-179.2046196,-75.25746397,77.45181744,-2.347003639
2018-01-10 01:30:00-07:00,13050,0,-164.2046196,-75.25746397,77.45181744,-2.150551925
2018-01-10 02:30:00-07:00,13110,0,-149.2046196,-75.25746397,77.45181744,-1.954100212
2018-01-10 03:30:00-07:00,13170,0,-134.2046196,-75.25746397,77.45181744,-1.757648498
2018-01-10 04:30:00-07:00,13230,0,-119.2046196,-75.25746397,77.45181744,-1.561196785
2018-01-10 05:30:00-07:00,13290,0,-104.2046196,-75.25746397,77.45181744,-1.364745071
2018-01-10 06:30:00-07:00,13350,0,-89.20461958,-75.25746397,77.45181744,-1.168293358
2018-01-10 07:30:00-07:00,13410,0,-74.20461958,-75.25746397,77.45181744,-0.971841644
2018-01-10 08:30:00-07:00,13470,682,-59.20461958,-75.25746397,77.45181744,-0.775389931
2018-01-10 09:30:00-07:00,13530,863,-44.20461958,-75.25746397,77.45181744,-0.578938217
2018-01-10 10:30:00-07:00,13590,940,-29.20461958,-75.25746397,77.45181744,-0.382486504
2018-01-10 11:30:00-07:00,13650,942,-14.20461958,-75.25746397,77.45181744,-0.18603479
2018-01-10 12:30:00-07:00,13710,622,0.795380417,-75.25746397,77.45181744,0.010416923
2018-01-10 13:30:00-07:00,13770,474,15.79538042,-75.25746397,77.45181744,0.206868637
2018-01-10 14:30:00-07:00,13830,406,30.79538042,-75.25746397,77.45181744,0.40332035
2018-01-10 15:30:00-07:00,13890,818,45.79538042,-75.25746397,77.45181744,0.599772064
2018-01-10 16:30:00-07:00,13950,647,60.79538042,-75.25746397,77.45181744,0.796223777
2018-01-10 17:30:00-07:00,14010,0,75.79538042,-75.25746397,77.45181744,0.992675491
2018-01-10 18:30:00-07:00,14070,0,90.79538042,-75.25746397,77.45181744,1.189127204
2018-01-10 19:30:00-07:00,14130,0,105.7953804,-75.25746397,77.45181744,1.385578918
2018-01-10 20:30:00-07:00,14190,0,120.7953804,-75.25746397,77.45181744,1.582030631
