time,process,process_on,process_status,w_dot_gen_kWe,elec_sold_kWe,price_elec,m_dot_hpt,m_dot_extract,hot_TES_inventory,cold_TES_inventory,v_dot_in_m3hr,capacity_m3day
32,RO,0,OFF,0.0,0.0,-0.0361801,33.16432342787162,11.975143836750332,287425701.00177383,2268.4548350383116,0.0,0.0
32,MED,0,OFF,0.0,0.0,-0.0361801,33.16432342787162,11.975143836750332,287425701.00177383,2268.4548350383116,0.0,0.0
32,ED,0,OFF,0.0,0.0,-0.0361801,33.16432342787162,11.975143836750332,287425701.00177383,2268.4548350383116,0.0,0.0
32,CRY,0,OFF,0.0,0.0,-0.0361801,33.16432342787162,11.975143836750332,287425701.00177383,2268.4548350383116,0.0,0.0
33,RO,0,OFF,0.0,0.0,-0.02774936,33.16430631649947,11.97504494037897,296407753.95262784,2339.344372378224,0.0,0.0
33,MED,0,OFF,0.0,0.0,-0.02774936,33.16430631649947,11.97504494037897,296407753.95262784,2339.344372378224,0.0,0.0
33,ED,0,OFF,0.0,0.0,-0.02774936,33.16430631649947,11.97504494037897,296407753.95262784,2339.344372378224,0.0,0.0
33,CRY,0,OFF,0.0,0.0,-0.02774936,33.16430631649947,11.97504494037897,296407753.95262784,2339.344372378224,0.0,0.0
34,RO,0,OFF,0.0,0.0,-0.02132504,33.16427601051086,11.974869784799647,305389807.5614958,2410.232872837019,0.0,0.0
34,MED,0,OFF,0.0,0.0,-0.02132504,33.16427601051086,11.974869784799647,305389807.5614958,2410.232872837019,0.0,0.0
34,ED,0,OFF,0.0,0.0,-0.02132504,33.16427601051086,11.974869784799647,305389807.5614958,2410.232872837019,0.0,0.0
34,CRY,0,OFF,0.0,0.0,-0.02132504,33.16427601051086,11.974869784799647,305389807.5614958,2410.232872837019,0.0,0.0
35,RO,0,OFF,0.0,0.0,-0.017811769999999998,33.164241873970255,11.974672490277351,314371861.9115479,2481.1202053571988,0.0,0.0
35,MED,0,OFF,0.0,0.0,-0.017811769999999998,33.164241873970255,11.974672490277351,314371861.9115479,2481.1202053571988,0.0,0.0
35,ED,0,OFF,0.0,0.0,-0.017811769999999998,33.164241873970255,11.974672490277351,314371861.9115479,2481.1202053571988,0.0,0.0
35,CRY,0,OFF,0.0,0.0,-0.017811769999999998,33.164241873970255,11.974672490277351,314371861.9115479,2481.1202053571988,0.0,0.0
36,RO,0,OFF,0.0,0.0,-0.01527914,33.16419900938309,11.974424751399924,323353917.1922906,2552.0060713196754,0.0,0.0
36,MED,0,OFF,0.0,0.0,-0.01527914,33.16419900938309,11.974424751399924,323353917.1922906,2552.0060713196754,0.0,0.0
36,ED,0,OFF,0.0,0.0,-0.01527914,33.16419900938309,11.974424751399924,323353917.1922906,2552.0060713196754,0.0,0.0
36,CRY,0,OFF,0.0,0.0,-0.01527914,33.16419900938309,11.974424751399924,323353917.1922906,2552.0060713196754,0.0,0.0
37,RO,0,OFF,0.0,0.0,-0.01263442,33.164118169817,11.973957533477597,332335974.22824943,2622.889171458515,0.0,0.0
37,MED,0,OFF,0.0,0.0,-0.01263442,33.164118169817,11.973957533477597,332335974.22824943,2622.889171458515,0.0,0.0
37,ED,0,OFF,0.0,0.0,-0.01263442,33.164118169817,11.973957533477597,332335974.22824943,2622.889171458515,0.0,0.0
37,CRY,0,OFF,0.0,0.0,-0.01263442,33.164118169817,11.973957533477597,332335974.22824943,2622.889171458515,0.0,0.0
38,RO,0,OFF,0.0,0.0,-0.01352833,33.16415133497168,11.974149213807072,341318030.5441151,2693.7734063012276,0.0,0.0
38,MED,0,OFF,0.0,0.0,-0.01352833,33.16415133497168,11.974149213807072,341318030.5441151,2693.7734063012276,0.0,0.0
38,ED,0,OFF,0.0,0.0,-0.01352833,33.16415133497168,11.974149213807072,341318030.5441151,2693.7734063012276,0.0,0.0
38,CRY,0,OFF,0.0,0.0,-0.01352833,33.16415133497168,11.974149213807072,341318030.5441151,2693.7734063012276,0.0,0.0
39,RO,0,OFF,0.0,0.0,-0.0165308,33.164222832902176,11.974562441093545,350300085.3075934,2764.6600873553143,0.0,0.0
39,MED,0,OFF,0.0,0.0,-0.0165308,33.164222832902176,11.974562441093545,350300085.3075934,2764.6600873553143,0.0,0.0
39,ED,0,OFF,0.0,0.0,-0.0165308,33.164222832902176,11.974562441093545,350300085.3075934,2764.6600873553143,0.0,0.0
39,CRY,0,OFF,0.0,0.0,-0.0165308,33.164222832902176,11.974562441093545,350300085.3075934,2764.6600873553143,0.0,0.0
40,RO,0,OFF,0.0,0.0,-0.029445810000000003,33.164310955233304,11.97507175026537,359282138.1577297,2835.549783403645,0.0,0.0
40,MED,0,OFF,0.0,0.0,-0.029445810000000003,33.164310955233304,11.97507175026537,359282138.1577297,2835.549783403645,0.0,0.0
40,ED,0,OFF,0.0,0.0,-0.029445810000000003,33.164310955233304,11.97507175026537,359282138.1577297,2835.549783403645,0.0,0.0
40,CRY,0,OFF,0.0,0.0,-0.029445810000000003,33.164310955233304,11.97507175026537,359282138.1577297,2835.549783403645,0.0,0.0
41,RO,0,OFF,0.0,0.0,-0.04238966,33.16432996995673,11.975181647188391,368264190.5950118,2906.4401300167187,0.0,0.0
41,MED,0,OFF,0.0,0.0,-0.04238966,33.16432996995673,11.975181647188391,368264190.5950118,2906.4401300167187,0.0,0.0
41,ED,0,OFF,0.0,0.0,-0.04238966,33.16432996995673,11.975181647188391,368264190.5950118,2906.4401300167187,0.0,0.0
41,CRY,0,OFF,0.0,0.0,-0.04238966,33.16432996995673,11.975181647188391,368264190.5950118,2906.4401300167187,0.0,0.0
42,RO,0,OFF,0.0,0.0,-0.057430190000000006,33.164338299554004,11.975229788678027,377246242.8514389,2977.330761616441,0.0,0.0
42,MED,0,OFF,0.0,0.0,-0.057430190000000006,33.164338299554004,11.975229788678027,377246242.8514389,2977.330761616441,0.0,0.0
