"Time stamp","System power generated | (kW)","TES charge state | (MWht)","PPA price multiplier"
"Jan 11, 08:00 pm",-607.2,0,1.46003
"Jan 11, 09:00 pm",-607.2,0,1.34836
"Jan 11, 10:00 pm",-607.2,0,1.2543
"Jan 11, 11:00 pm",-607.2,0,1.15969
"Jan 12, 12:00 am",-607.2,0,1.09718
"Jan 12, 01:00 am",-607.2,0,1.13482
"Jan 12, 02:00 am",-607.2,0,1.03683
"Jan 12, 03:00 am",-607.2,0,0.995277
"Jan 12, 04:00 am",-607.2,0,1.05566
"Jan 12, 05:00 am",-607.2,0,1.12615
"Jan 12, 06:00 am",-607.2,0,1.15482
"Jan 12, 07:00 am",-607.2,0,1.24023
"Jan 12, 08:00 am",-607.2,0,1.19143
"Jan 12, 09:00 am",-607.2,0,1.20296
"Jan 12, 10:00 am",-3435.65,0,1.15712
"Jan 12, 11:00 am",40499.4,38.1727,1.14024
"Jan 12, 12:00 pm",20666.3,0,1.06203
"Jan 12, 01:00 pm",-607.2,0,1.04469
"Jan 12, 02:00 pm",-607.2,0,1.06192
"Jan 12, 03:00 pm",-2786.72,0,1.04586
"Jan 12, 04:00 pm",22626.5,13.008,1.12274
"Jan 12, 05:00 pm",6312.03,0,1.27025
"Jan 12, 06:00 pm",-607.2,0,1.5563
"Jan 12, 07:00 pm",-607.2,0,1.5829
"Jan 12, 08:00 pm",-607.2,0,1.46969
"Jan 12, 09:00 pm",-607.2,0,1.33161
"Jan 12, 10:00 pm",-607.2,0,1.26052
"Jan 12, 11:00 pm",-607.2,0,1.20676
"Jan 13, 12:00 am",-607.2,0,1.17605
"Jan 13, 01:00 am",-607.2,0,1.17568
"Jan 13, 02:00 am",-607.2,0,1.12012
"Jan 13, 03:00 am",-607.2,0,1.104
"Jan 13, 04:00 am",-607.2,0,1.11552
"Jan 13, 05:00 am",-607.2,0,1.1132
"Jan 13, 06:00 am",-607.2,0,1.20666
"Jan 13, 07:00 am",-607.2,0,1.21503
"Jan 13, 08:00 am",-5166.11,12.4636,1.16318
"Jan 13, 09:00 am",95544.7,260.929,1.00877
"Jan 13, 10:00 am",105089,627.13,0.93786
"Jan 13, 11:00 am",103475,1023.17,0.893192
"Jan 13, 12:00 pm",102280,1433.97,0.817806
"Jan 13, 01:00 pm",102579,1831.71,0.792932
"Jan 13, 02:00 pm",104323,2186.38,0.890792
"Jan 13, 03:00 pm",107915,2446.02,0.932373
"Jan 13, 04:00 pm",112323,2512.5,1.15794
"Jan 13, 05:00 pm",116866,2277.74,1.2977
"Jan 13, 06:00 pm",117102,2042.99,1.65431
"Jan 13, 07:00 pm",117136,1808.25,1.71433
"Jan 13, 08:00 pm",117130,1573.53,1.5514
"Jan 13, 09:00 pm",117124,1338.83,1.36524
"Jan 13, 10:00 pm",117117,1104.15,1.24771
"Jan 13, 11:00 pm",117108,869.513,1.20314
"Jan 14, 12:00 am",117098,634.923,1.14666
"Jan 14, 01:00 am",117085,400.409,1.10129
"Jan 14, 02:00 am",117068,166.033,1.05053
"Jan 14, 03:00 am",87557.9,0,1.01368
"Jan 14, 04:00 am",-607.2,0,1.01074
"Jan 14, 05:00 am",-607.2,0,1.09694
"Jan 14, 06:00 am",-607.2,0,1.21357
"Jan 14, 07:00 am",-607.2,0,1.48259
"Jan 14, 08:00 am",-607.2,0,1.366
"Jan 14, 09:00 am",-2821.35,0,1.21211
"Jan 14, 10:00 am",33606.5,301.38,1.20029
"Jan 14, 11:00 am",110882,364.674,1.14852
"Jan 14, 12:00 pm",108846,532.46,1.04404
"Jan 14, 01:00 pm",106694,797.163,1.02392
"Jan 14, 02:00 pm",111792,772.819,1.11356
"Jan 14, 03:00 pm",115776,538.215,1.14133
"Jan 14, 04:00 pm",116254,303.7,1.23061
"Jan 14, 05:00 pm",116437,69.3647,1.468
"Jan 14, 06:00 pm",38011.6,0,1.85701
"Jan 14, 07:00 pm",-607.2,0,1.92672
"Jan 14, 08:00 pm",-607.2,0,1.83153
"Jan 14, 09:00 pm",-607.2,0,1.56848
"Jan 14, 10:00 pm",-607.2,0,1.28954
"Jan 14, 11:00 pm",-607.2,0,1.21222
"Jan 15, 12:00 am",-607.2,0,1.16322
"Jan 15, 01:00 am",-607.2,0,1.23641
"Jan 15, 02:00 am",-607.2,0,1.21244
"Jan 15, 03:00 am",-607.2,0,1.16922
"Jan 15, 04:00 am",-607.2,0,1.1866
"Jan 15, 05:00 am",-607.2,0,1.21661
"Jan 15, 06:00 am",-607.2,0,1.2872
"Jan 15, 07:00 am",-607.2,0,1.61289
"Jan 15, 08:00 am",-607.2,0,1.60569
"Jan 15, 09:00 am",-607.2,0,1.33586
"Jan 15, 10:00 am",-607.2,0,1.32823
"Jan 15, 11:00 am",-607.2,0,1.28878
"Jan 15, 12:00 pm",-607.2,0,1.26309
"Jan 15, 01:00 pm",-607.2,0,1.23844
"Jan 15, 02:00 pm",-607.2,0,1.23632
"Jan 15, 03:00 pm",-607.2,0,1.24814
"Jan 15, 04:00 pm",-607.2,0,1.31861
"Jan 15, 05:00 pm",-607.2,0,1.47896
"Jan 15, 06:00 pm",-607.2,0,1.8953
"Jan 15, 07:00 pm",-607.2,0,1.8475
"Jan 15, 08:00 pm",-607.2,0,1.67086
"Jan 15, 09:00 pm",-607.2,0,1.50466
"Jan 15, 10:00 pm",-607.2,0,1.37247
"Jan 15, 11:00 pm",-607.2,0,1.33638
"Jan 16, 12:00 am",-607.2,0,1.26132
"Jan 16, 01:00 am",-607.2,0,1.38855
"Jan 16, 02:00 am",-607.2,0,1.35625
"Jan 16, 03:00 am",-607.2,0,1.32578
"Jan 16, 04:00 am",-607.2,0,1.34635
"Jan 16, 05:00 am",-607.2,0,1.37167
"Jan 16, 06:00 am",-607.2,0,1.47959
"Jan 16, 07:00 am",-607.2,0,1.82505
"Jan 16, 08:00 am",-607.2,0,2.1201
"Jan 16, 09:00 am",3614.66,91.6803,1.49647
"Jan 16, 10:00 am",108079,365.462,1.37236
"Jan 16, 11:00 am",113242,322.147,1.25874
"Jan 16, 12:00 pm",112271,363.046,1.19381
"Jan 16, 01:00 pm",112849,351.791,1.15113
"Jan 16, 02:00 pm",115501,118.472,1.16904
"Jan 16, 03:00 pm",109919,121.362,1.22071
"Jan 16, 04:00 pm",113137,111.892,1.41474
"Jan 16, 05:00 pm",60872.1,0,2.02555
"Jan 16, 06:00 pm",-607.2,0,2.31021
"Jan 16, 07:00 pm",-607.2,0,2.29296
"Jan 16, 08:00 pm",-607.2,0,2.07658
"Jan 16, 09:00 pm",-607.2,0,1.75091
"Jan 16, 10:00 pm",-607.2,0,1.53489
"Jan 16, 11:00 pm",-607.2,0,1.45108
"Jan 17, 12:00 am",-607.2,0,1.35152
"Jan 17, 01:00 am",-607.2,0,1.30925
"Jan 17, 02:00 am",-607.2,0,1.28044
"Jan 17, 03:00 am",-607.2,0,1.25007
"Jan 17, 04:00 am",-607.2,0,1.27825
"Jan 17, 05:00 am",-607.2,0,1.31367
"Jan 17, 06:00 am",-607.2,0,1.42312
"Jan 17, 07:00 am",-607.2,0,1.82652
"Jan 17, 08:00 am",-4482.18,0,1.94316
"Jan 17, 09:00 am",74525.8,180.347,1.52072
"Jan 17, 10:00 am",107356,478.736,1.46193
"Jan 17, 11:00 am",106279,807.741,1.37961
"Jan 17, 12:00 pm",105292,1160.41,1.32846
"Jan 17, 01:00 pm",105508,1507.73,1.30631
"Jan 17, 02:00 pm",107509,1792.61,1.33129
"Jan 17, 03:00 pm",109870,1988.13,1.31891
"Jan 17, 04:00 pm",112896,2004.63,1.43181
"Jan 17, 05:00 pm",116737,1769.86,1.81755
"Jan 17, 06:00 pm",117046,1535.11,2.02896
"Jan 17, 07:00 pm",117101,1300.38,1.93792
"Jan 17, 08:00 pm",117123,1065.67,1.89543
"Jan 17, 09:00 pm",117144,831,1.59709
