,Efficiency
1170,1.09342
1171,1.09162
1172,1.0909
1173,1.09054
1174,1.0912600000000001
1175,1.09306
1176,1.09666
1177,1.10386
1178,1.10566
1179,1.10602
1180,1.10602
1181,1.10674
1182,1.10674
1183,1.10746
1184,1.10782
1185,1.10854
1186,1.1089
1187,1.10926
1188,1.11034
1189,1.11142
1190,1.11214
1191,1.1071
1192,1.1017
1193,1.09558
1194,1.0912600000000001
1195,1.08838
1196,1.08694
1197,1.08694
1198,1.08802
1199,1.08946
1200,1.09198
1201,1.09846
1202,1.10134
1203,1.10242
1204,1.1035
1205,1.10494
1206,1.10638
1207,1.10782
1208,1.10926
1209,1.11142
1210,1.11286
1211,1.11358
1212,1.11358
1213,1.11358
1214,1.11286
1215,1.10854
1216,1.1053
1217,1.10314
1218,1.10098
1219,1.09918
1220,1.09738
1221,1.09666
1222,1.09666
1223,1.09702
1224,1.09918
1225,1.10458
1226,1.10854
1227,1.11034
1228,1.11178
1229,1.11322
1230,1.11466
1231,1.11574
1232,1.11646
1233,1.11754
1234,1.1179000000000001
1235,1.11826
1236,1.11862
1237,1.11934
1238,1.11934
1239,1.11394
1240,1.10818
1241,1.10134
1242,1.0963
1243,1.0927
1244,1.09054
1245,1.08874
1246,1.08838
1247,1.0891
1248,1.09198
1249,1.0999
1250,1.1035
1251,1.1053
1252,1.10746
1253,1.1089
1254,1.11034
1255,1.11142
1256,1.1125
1257,1.11322
1258,1.11358
1259,1.11358
1260,1.11358
1261,1.11394
1262,1.11322
1263,1.10638
1264,1.09918
1265,1.09234
1266,1.08586
1267,1.0801
1268,1.07794
1269,1.07794
1270,1.07902
1271,1.08046
1272,1.08406
1273,1.09198
1274,1.09522
1275,1.09702
1276,1.09882
1277,1.10026
1278,1.1017
1279,1.10278
1280,1.10386
1281,1.10458
1282,1.10494
1283,1.1053
1284,1.10602
1285,1.10674
1286,1.10674
1287,1.10134
1288,1.0963
1289,1.0912600000000001
1290,1.0873
1291,1.08478
1292,1.08406
1293,1.0837
1294,1.08334
1295,1.08406
1296,1.08694
1297,1.09198
1298,1.09558
1299,1.09774
1300,1.09918
1301,1.10026
1302,1.10134
1303,1.10278
1304,1.10458
1305,1.10602
1306,1.10674
1307,1.10782
1308,1.10854
1309,1.1089
1310,1.10746
1311,1.1035
1312,1.09738
1313,1.09198
1314,1.08694
1315,1.08442
1316,1.08262
1317,1.0819
1318,1.08226
1319,1.08406
1320,1.08838
1321,1.09702
1322,1.10098
1323,1.1035
1324,1.1053
1325,1.10674
1326,1.10782
1327,1.10962
1328,1.11142
1329,1.11322
1330,1.11466
1331,1.1161
1332,1.11682
1333,1.11718
1334,1.11682
1335,1.10962
1336,1.10314
1337,1.0963
1338,1.09054
1339,1.08766
1340,1.08622
1341,1.0855
1342,1.08514
1343,1.08586
1344,1.08946
1345,1.0981
1346,1.10206
1347,1.10458
1348,1.10674
1349,1.1089
1350,1.11034
1351,1.11142
1352,1.1125
1353,1.11286
1354,1.11322
1355,1.11322
1356,1.11358
1357,1.11394
1358,1.11394
1359,1.1071
1360,1.10134
1361,1.09558
1362,1.0912600000000001
1363,1.08766
1364,1.0855
1365,1.08478
1366,1.08478
1367,1.08658
1368,1.0909
1369,1.09954
1370,1.10422
1371,1.10602
1372,1.10782
1373,1.10962
1374,1.11178
1375,1.11322
1376,1.11466
1377,1.11574
1378,1.11646
1379,1.11718
1380,1.11754
1381,1.11718
1382,1.11682
1383,1.11178
1384,1.10602
1385,1.0999
1386,1.09558
1387,1.0927
1388,1.0912600000000001
1389,1.09054
1390,1.0909
1391,1.09234
1392,1.09558
1393,1.1035
1394,1.10818
1395,1.11034
1396,1.11178
1397,1.11322
1398,1.1143
1399,1.11538
1400,1.11646
1401,1.11754
1402,1.11862
1403,1.11934
1404,1.1197
1405,1.12006
1406,1.11934
1407,1.11142
1408,1.10458
1409,1.09666
1410,1.09162
1411,1.08946
1412,1.08874
1413,1.08874
1414,1.08982
1415,1.09162
1416,1.09522
1417,1.10278
1418,1.10602
1419,1.10602
1420,1.10638
1421,1.10746
1422,1.10782
1423,1.10782
1424,1.10746
1425,1.10854
1426,1.11034
1427,1.11214
1428,1.11322
1429,1.11358
1430,1.11322
1431,1.10494
1432,1.09702
1433,1.09162
1434,1.08766
1435,1.08586
1436,1.08514
1437,1.0855
1438,1.08694
1439,1.08946
1440,1.09342
1441,1.10134
1442,1.1053
1443,1.10602
1444,1.10602
1445,1.10674
1446,1.10746
1447,1.10782
1448,1.10818
1449,1.1089
1450,1.10926
1451,1.10962
1452,1.10998
1453,1.10998
1454,1.11034
1455,1.10674
1456,1.10242
1457,1.0963
1458,1.09198
1459,1.09018
1460,1.09018
1461,1.0912600000000001
1462,1.09306
1463,1.09558
1464,1.09954
1465,1.10494
1466,1.1089
1467,1.10926
1468,1.1089
1469,1.1089
1470,1.10926
1471,1.1107
1472,1.11178
1473,1.11142
1474,1.11142
1475,1.11106
1476,1.10998
1477,1.10926
1478,1.1089
1479,1.10674
1480,1.10278
1481,1.09774
1482,1.09378
1483,1.0912600000000001
1484,1.09054
1485,1.09054
1486,1.09198
1487,1.0945
1488,1.09774
1489,1.10242
1490,1.10674
1491,1.10818
1492,1.10854
1493,1.1089
1494,1.1089
1495,1.10926
1496,1.10962
1497,1.10962
1498,1.10998
1499,1.10962
1500,1.1089
1501,1.10926
1502,1.1107
1503,1.10746
1504,1.10278
1505,1.09666
1506,1.09198
1507,1.08946
1508,1.08802
1509,1.08766
1510,1.08838
1511,1.09054
1512,1.0945
1513,1.10098
1514,1.10566
1515,1.10638
1516,1.10674
1517,1.1071
1518,1.10782
1519,1.10818
1520,1.10854
1521,1.1089
1522,1.10962
1523,1.1107
1524,1.11142
1525,1.1125
1526,1.11286
1527,1.10782
1528,1.10278
1529,1.09594
1530,1.09018
1531,1.08694
1532,1.0855
1533,1.08586
1534,1.08802
1535,1.0912600000000001
1536,1.0963
1537,1.10206
1538,1.1071
1539,1.10782
1540,1.1071
1541,1.10494
1542,1.10242
1543,1.10242
1544,1.1035
1545,1.1053
1546,1.10638
1547,1.10674
1548,1.10674
1549,1.10674
1550,1.10674
1551,1.1035
1552,1.1017
1553,1.09846
1554,1.0945
1555,1.09162
1556,1.08982
1557,1.08874
1558,1.08838
1559,1.08982
1560,1.09306
1561,1.10026
1562,1.10566
1563,1.1071
1564,1.10818
1565,1.10926
1566,1.1107
1567,1.11214
1568,1.11322
1569,1.11502
1570,1.1161
1571,1.11718
1572,1.11826
1573,1.11862
1574,1.11754
1575,1.11178
1576,1.10782
1577,1.1017
1578,1.09846
1579,1.0963
1580,1.09558
1581,1.09522
1582,1.09522
1583,1.09558
1584,1.09738
1585,1.10206
1586,1.10638
